job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
Software Developer,Progressive AE,https://www.indeed.com/cmp/Progressive-Ae,"Grand Rapids, MI 49525","As a software developer, you will oversee the Progressive AE technology life-cycle duties to bring our applications to completion while exceeding business…",EmployerActive 2 days ago,
Web C#/.NET Development Lead (Hybrid Remote),The C2 Group,"https://www.indeed.com/q-The-C2-Group-l-Grand-Rapids,-MI-jobs.html","Remote in Grand Rapids, MI",This position resides in C2's Continuous Support and Optimization (CSO) services team.,EmployerActive 29 days ago,Estimated $112K – $142K a year
,Blue Chip,https://www.indeed.com/cmp/Blue-Chip,"Grand Rapids, MI",The Senior Software Developer will build the technology that powers the business from the core.,Posted3 days ago,Estimated $94.3K – $119K a year
Java Software Developer - DiQ Optimize,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI","What you’ll be doing - Create elegant solutions for some of the most complex material handling and logistics projects in the world - Deliver large, impactful,…",Posted30+ days ago,Estimated $76.8K – $97.2K a year
,TCS,https://www.indeed.com/cmp/Tcs,"Grand Rapids, MI","Analyses, Codes and/or configures, tests, and implements programs and packages.",Posted3 days ago,Estimated $86.4K – $109K a year
Software Engineer,Lake Michigan Credit Union,https://www.indeed.com/cmp/Lake-Michigan-Credit-Union,"Grand Rapids, MI",Lake Michigan Credit Union is seeking a talented and self-motivated Software Engineer to assist in the creation of software for new initiatives while assisting…,Posted30+ days ago,Estimated $78.5K – $99.5K a year
,Magic Wrighter Inc,"https://www.indeed.com/jobs?q=Magic+Wrighter+Inc&l=Grand+Rapids,+MI&nc=jasx","Grand Rapids, MI 49544","This is a full-time position (Monday – Friday, 8 – 5) at our office in Grand Rapids, MI, with pay commensurate with capabilities and experience.",Posted3 days ago,Estimated $82.7K – $105K a year
,Franklin Energy,https://www.indeed.com/cmp/Franklin-Energy,"Grand Rapids, MI 49544","The Senior Software Engineer will work on the within the Technology Group to expand, enhance and strengthen our technology platform to amplify the Company’s…",Posted3 days ago,Estimated $71.1K – $90.1K a year
Mobile Application Developer,Salamander Technologies,"https://www.indeed.com/q-Salamander-Technologies-l-Grand-Rapids,-MI-jobs.html","Remote in Grand Rapids, MI","Skilled developer with drive and passion in Application Development with 2 to 4 years of work, responsible for enhancing existing mobile applications and…",EmployerActive 11 days ago,
Full Stack Developer - Location Open,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)+9 locations","As a Full Stack Developer Consultant for our HR Transformation team, you will use your knowledge and experience of HR operations and the ServiceNow HR Service…",Posted9 days ago,Estimated $84.3K – $107K a year
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $61.8K – $78.2K a year
